The Bare Necessities,C#,G,E,A,audio/DNatural.mp3,Dm,Has worry got you down?
When She Loved Me,C,Ab,Eb,Ab,audio/AFlat.mp3,Ab,Doo doo doo doo doo doo
Cheek to Cheek,C,E,G,C,audio/CNatural.mp3,C,Dancing can be so much fun
No No Nora,F,C,A,F,audio/FNatural.mp3,F,In the apartment above me
I Can't Give You Anything But Love,B,G,D,G,audio/GNatural.mp3,G,Now that it's your birthday
Their Hearts Were Full Of Spring,C#,C#,G#,A,audio/ANatural.mp3,A,(Tenor Pickup) Doo doo.. doo doo doo doo
I'm Feelin' Fine,E,A,C,C,audio/FNatural.mp3,F,Well I woke up this mornin'
Goodbye Yellow Brick Road,A,C,F,F,audio/FNatural.mp3,F,Doo Doo Doo Doo
South Rampart Street Parade,E,E,E,E,audio/ANatural.mp3,A,(Tenor/Lead) Do you hear the beat (All) Away down..
Birth of the Blues,D,F,Bb,F,audio/BFlat.mp3,Bb,(Bass pickup) Ya know that I (All) asked my Pappy
(You Make Me) smile,G#,E,B,B,audio/ENatural.mp3,E, (Bass pickup) Bah doo (All), dah doh dah...
